t,step,x,y,theta,theta_dot,theta_ddot,tau,x_target,y_target,theta_target,ex,ey,etheta
0.26,13,0.03786695748567581,0.9992827773094177,0.03787601366639137,0.34602856636047363,1.6807548999786377,2.0,0.23318526148796082,0.9724323153495789,0.23535196483135223,0.1953183114528656,-0.026850461959838867,0.19747595489025116
0.28,14,0.04542543739080429,0.998967707157135,0.045441076159477234,0.3782530426979065,1.6112236976623535,2.0,0.2491588294506073,0.9684626460075378,0.25181159377098083,0.2037333995103836,-0.030505096539855003,0.2063705325126648
0.3,15,0.05359463021159172,0.998562753200531,0.053620319813489914,0.40896233916282654,1.535463809967041,2.0,0.2647198438644409,0.9643253684043884,0.2679134011268616,0.2111252248287201,-0.034237414598464966,0.21429307758808136
0.32,16,0.0623406320810318,0.9980549216270447,0.0623810850083828,0.4380381107330322,1.4537885189056396,2.0,0.27984675765037537,0.9600446820259094,0.2836344838142395,0.21750611066818237,-0.03801024705171585,0.2212533950805664
0.34,17,0.07162707298994064,0.9974314570426941,0.0716884583234787,0.4653688371181488,1.3665364980697632,2.0,0.2945193350315094,0.9556455016136169,0.29895249009132385,0.22289225459098816,-0.04178595915436745,0.22726403176784515
0.36,18,0.08141525089740753,0.9966802597045898,0.08150546252727509,0.4908502399921417,1.2740700244903564,2.0,0.308718740940094,0.9511533975601196,0.313845694065094,0.22730349004268646,-0.0455268956720829,0.23234021663665771
0.38,19,0.09166432172060013,0.9957899451255798,0.09179317951202393,0.5143857002258301,1.1767739057540894,2.0,0.32242754101753235,0.9465941190719604,0.3282928764820099,0.23076322674751282,-0.04919581860303879,0.23649969696998596
0.4,20,0.10233146697282791,0.9947503805160522,0.10251091420650482,0.5358867645263672,1.0750536918640137,2.0,0.3356296420097351,0.9419940114021301,0.3422735631465912,0.2332981675863266,-0.052756328135728836,0.23976263403892517
0.42,21,0.11337210237979889,0.9935526251792908,0.11361638456583023,0.5552734732627869,0.9693339467048645,2.0,0.3483102321624756,0.9373793005943298,0.3557678461074829,0.2349381148815155,-0.056173279881477356,0.24215145409107208
0.44,22,0.12474009394645691,0.9921894669532776,0.125065878033638,0.5724745988845825,0.8600559830665588,2.0,0.36045587062835693,0.9327762722969055,0.36875656247138977,0.23571576178073883,-0.059413179755210876,0.24369068443775177
0.46,23,0.13638801872730255,0.9906554818153381,0.1368144303560257,0.587428092956543,0.7476759552955627,2.0,0.3720543384552002,0.928210973739624,0.3812212646007538,0.23566631972789764,-0.0624445416033268,0.2444068193435669
0.48,24,0.14826738834381104,0.988947331905365,0.1488160640001297,0.6000813245773315,0.6326621770858765,2.0,0.3830946385860443,0.9237090945243835,0.3931442201137543,0.23482726514339447,-0.06523821502923965,0.24432815611362457
0.5,25,0.1603289395570755,0.9870636463165283,0.16102388501167297,0.6103911995887756,0.515492856502533,2.0,0.39356696605682373,0.9192959666252136,0.404508501291275,0.23323804140090942,-0.06776769459247589,0.24348460137844086
0.52,26,0.1725228726863861,0.9850054979324341,0.17339037358760834,0.6183242797851562,0.39665359258651733,2.0,0.40346255898475647,0.9149961471557617,0.4152979552745819,0.23093970119953156,-0.07000936567783356,0.24190758168697357
0.54,27,0.1847991794347763,0.9827762842178345,0.1858675181865692,0.6238569617271423,0.27663442492485046,2.0,0.4127737283706665,0.9108335971832275,0.42549723386764526,0.2279745638370514,-0.07194270938634872,0.23962973058223724
0.56,28,0.19710785150527954,0.9803817868232727,0.19840702414512634,0.6269754767417908,0.15592725574970245,2.0,0.4214937090873718,0.9068313241004944,0.43509188294410706,0.22438585758209229,-0.07355049252510071,0.2366848587989807
0.58,29,0.2093992382287979,0.9778302311897278,0.2109605371952057,0.6276759505271912,0.03502315655350685,2.0,0.42961665987968445,0.9030113816261292,0.44406822323799133,0.22021742165088654,-0.07481886446475983,0.23310768604278564
0.6,30,0.2216242551803589,0.975132167339325,0.22347982227802277,0.6259641647338867,-0.08559037744998932,2.0,0.43713751435279846,0.899394690990448,0.45241352915763855,0.21551327407360077,-0.07573746144771576,0.22893370687961578
0.62,31,0.2337346225976944,0.9723004102706909,0.23591694235801697,0.6218554973602295,-0.20543208718299866,2.0,0.44405198097229004,0.8960010409355164,0.460115909576416,0.21031735837459564,-0.07629940658807755,0.22419898211956024
0.64,32,0.2456832081079483,0.9693501591682434,0.2482244372367859,0.6153749227523804,-0.32402941584587097,2.0,0.4503563940525055,0.8928488492965698,0.46716445684432983,0.20467320084571838,-0.07650130242109299,0.21894003450870514
