t,step,x,y,theta,theta_dot,theta_ddot,tau,x_target,y_target,theta_target,ex,ey,etheta,p_error,i_error,d_error,kp,ki,kd,reward,reward_cum,force_left,force_right
0.2,10,0.014445323497056961,0.9998956322669983,0.014445825479924679,0.182749405503273,1.4148160219192505,2.0,0.18302473425865173,0.9831082820892334,0.18406227231025696,0.16857941448688507,-0.016787352040410042,0.1696164458990097,0.1696164458990097,0.017876392230391502,0.0,10.0,0.5,1.0,-0.08466117411474551,-1.0234015191404637,2.320866107940674,7.679133892059326
0.22,11,0.01865447871387005,0.9998260140419006,0.018655559048056602,0.21048672497272491,1.3868653774261475,2.0,0.2000933736562729,0.9797768592834473,0.20145322382450104,0.1814388930797577,-0.02004915662109852,0.1827976554632187,0.1827976554632187,0.021400531753897667,0.0,10.0,0.5,1.0,-0.0797952301304307,-1.1031967492708945,2.0610737800598145,7.9389262199401855
0.24,12,0.023405099287629128,0.9997260570526123,0.023407237604260445,0.23758384585380554,1.3548563718795776,2.0,0.2168220430612564,0.9762111306190491,0.21855787932872772,0.19341693818569183,-0.023514915257692337,0.19515064358711243,0.19515064358711243,0.025180015712976456,0.0,10.0,0.5,1.0,-0.07485888069747239,-1.1780556299683669,1.812880039215088,8.187119483947754
0.26,13,0.028682533651590347,0.9995885491371155,0.028686469420790672,0.2639615833759308,1.3188875913619995,2.0,0.23318526148796082,0.9724323153495789,0.23535196483135223,0.20450273156166077,-0.027156243100762367,0.206665500998497,0.206665500998497,0.02919817715883255,0.0,10.0,0.5,1.0,-0.06986358872596565,-1.2479192186943324,1.577264428138733,8.422735214233398
0.28,14,0.03447049856185913,0.9994057416915894,0.03447732701897621,0.2895430028438568,1.2790696620941162,2.0,0.2491588294506073,0.9684626460075378,0.25181159377098083,0.21468833088874817,-0.03094308078289032,0.21733427047729492,0.21733427047729492,0.03343817591667175,0.0,10.0,0.5,1.0,-0.06482074700487006,-1.3127399656992025,1.3551568984985352,8.644843101501465
0.3,15,0.04075111076235771,0.9991693496704102,0.04076239839196205,0.3142535090446472,1.2355254888534546,2.0,0.2647198438644409,0.9643253684043884,0.2679134011268616,0.2239687442779541,-0.034843966364860535,0.22715099155902863,0.22715099155902863,0.037883028388023376,0.0,10.0,0.5,1.0,-0.05974165373098832,-1.3724816194301908,1.1474337577819824,8.85256576538086
0.32,16,0.04750493913888931,0.9988710284233093,0.04752282425761223,0.33802127838134766,1.1883891820907593,2.0,0.27984675765037537,0.9600446820259094,0.2836344838142395,0.23234181106090546,-0.038826316595077515,0.23611165583133698,0.23611165583133698,0.04251565411686897,0.0,10.0,0.5,1.0,-0.05463748881810435,-1.427119108248295,0.9549150466918945,9.045084953308105
0.34,17,0.05471104010939598,0.998502254486084,0.054738372564315796,0.3607774078845978,1.1378066539764404,2.0,0.2945193350315094,0.9556455016136169,0.29895249009132385,0.23980827629566193,-0.04285670444369316,0.24421411752700806,0.24421411752700806,0.04731891304254532,0.0,10.0,0.5,1.0,-0.04951928917939205,-1.476638397427687,0.7783603668212891,9.221639633178711
0.36,18,0.06234703212976456,0.9980545043945312,0.06238749623298645,0.38245609402656555,1.0839343070983887,2.0,0.308718740940094,0.9511533975601196,0.313845694065094,0.24637171626091003,-0.0469011589884758,0.25145819783210754,0.25145819783210754,0.0522756353020668,0.0,10.0,0.5,1.0,-0.04439792619451835,-1.5210363236222055,0.6184666156768799,9.3815336227417
0.38,19,0.07038913667201996,0.9975196123123169,0.0704473927617073,0.40299490094184875,1.0269396305084229,2.0,0.32242754101753235,0.9465941190719604,0.3282928764820099,0.2520384192466736,-0.05092546343803406,0.2578454911708832,0.2578454911708832,0.05736866965889931,0.0,10.0,0.5,1.0,-0.03928408227581049,-1.560320405898016,0.4758647382259369,9.52413558959961
0.4,20,0.07881227135658264,0.9968894720077515,0.07889409363269806,0.4223348796367645,0.9669995903968811,2.0,0.3356296420097351,0.9419940114021301,0.3422735631465912,0.25681737065315247,-0.054895445704460144,0.26337945461273193,0.26337945461273193,0.06258092075586319,0.0,10.0,0.5,1.0,-0.034188228653283664,-1.5945086345512998,0.3511175811290741,9.648882865905762
0.42,21,0.08759012073278427,0.9961565732955933,0.08770250529050827,0.440420925617218,0.9043011665344238,2.0,0.3483102321624756,0.9373793005943298,0.3557678461074829,0.2607201039791107,-0.058777280151844025,0.26806533336639404,0.26806533336639404,0.06789536774158478,0.0,10.0,0.5,1.0,-0.029120603178012523,-1.6236292377293122,0.24471741914749146,9.755282402038574
0.44,22,0.09669522196054459,0.9953140616416931,0.09684654325246811,0.4572017192840576,0.8390399217605591,2.0,0.36045587062835693,0.9327762722969055,0.36875656247138977,0.26376062631607056,-0.0625377669930458,0.27191001176834106,0.27191001176834106,0.07329512387514114,0.0,10.0,0.5,1.0,-0.02409118948440226,-1.6477204272137145,0.15708419680595398,9.842915534973145
0.46,23,0.10609906911849976,0.9943555593490601,0.10629914700984955,0.472630113363266,0.7714198231697083,2.0,0.3720543384552002,0.928210973739624,0.3812212646007538,0.26595526933670044,-0.06614460796117783,0.27492210268974304,0.27492210268974304,0.0787634402513504,0.0,10.0,0.5,1.0,-0.019109695538602055,-1.6668301227523166,0.08856374770402908,9.911436080932617
0.48,24,0.11577221751213074,0.9932757616043091,0.11603240668773651,0.48666316270828247,0.701652467250824,2.0,0.3830946385860443,0.9237090945243835,0.3931442201137543,0.2673224210739136,-0.06956669688224792,0.27711179852485657,0.27711179852485657,0.08428378403186798,0.0,10.0,0.5,1.0,-0.01418553386332206,-1.6810156566156387,0.039426494389772415,9.960573196411133
0.5,25,0.12568438053131104,0.9920702576637268,0.12601765990257263,0.499262273311615,0.629956066608429,2.0,0.39356696605682373,0.9192959666252136,0.404508501291275,0.2678825855255127,-0.07277432829141617,0.2784908413887024,0.2784908413887024,0.08983980864286423,0.0,10.0,0.5,1.0,-0.00932780242366673,-1.6903434590393054,0.009866357780992985,9.990133285522461
0.52,26,0.13580457866191864,0.990735650062561,0.13622552156448364,0.5103933811187744,0.5565547943115234,2.0,0.40346255898475647,0.9149961471557617,0.4152979552745819,0.267657995223999,-0.07573949545621872,0.27907243371009827,0.27907243371009827,0.09541544318199158,0.0,10.0,0.5,1.0,-0.004545266055138384,-1.6948887250944438,0.0,10.0
0.54,27,0.1461012363433838,0.9892696738243103,0.1466260552406311,0.5200269222259521,0.4816780388355255,2.0,0.4127737283706665,0.9108335971832275,0.42549723386764526,0.2666724920272827,-0.07843604683876038,0.27887117862701416,0.27887117862701416,0.10099487751722336,0.0,10.0,0.5,1.0,-0.0018588124677107421,-1.6967475375621546,0.009866357780992985,9.990133285522461
0.56,28,0.1565423160791397,0.9876712560653687,0.15718881785869598,0.5281381011009216,0.40555915236473083,2.0,0.4214937090873718,0.9068313241004944,0.43509188294410706,0.2649514079093933,-0.08083993196487427,0.2779030501842499,0.2779030501842499,0.10656262189149857,0.0,10.0,0.5,1.0,-0.004920326763635818,-1.7016678643257903,0.039426494389772415,9.960573196411133
0.58,29,0.16709545254707336,0.98594069480896,0.16788296401500702,0.5347068309783936,0.3284347951412201,2.0,0.42961665987968445,0.9030113816261292,0.44406822323799133,0.2625212073326111,-0.08292935788631439,0.2761852741241455,0.2761852741241455,0.11210350692272186,0.0,10.0,0.5,1.0,-0.007909009641320434,-1.7095768739671107,0.08856374770402908,9.911436080932617
0.6,30,0.1777281016111374,0.9840796589851379,0.17867730557918549,0.5397176742553711,0.2505437433719635,2.0,0.43713751435279846,0.899394690990448,0.45241352915763855,0.25940942764282227,-0.08468495309352875,0.27373620867729187,0.27373620867729187,0.11760272085666656,0.0,10.0,0.5,1.0,-0.010820276453097492,-1.7203971504202082,0.15708419680595398,9.842915534973145
0.62,31,0.18840765953063965,0.9820908904075623,0.18954052031040192,0.5431602001190186,0.17212609946727753,2.0,0.44405198097229004,0.8960010409355164,0.460115909576416,0.2556443214416504,-0.08608987927436829,0.2705754041671753,0.2705754041671753,0.12304583191871643,0.0,10.0,0.5,1.0,-0.013649912326092136,-1.7340470627463003,0.24471741914749146,9.755282402038574
0.64,32,0.19910161197185516,0.9799788594245911,0.20044109225273132,0.5450286269187927,0.09342212975025177,2.0,0.4503563940525055,0.8928488492965698,0.46716445684432983,0.2512547969818115,-0.08712998032569885,0.2667233943939209,0.2667233943939209,0.12841881811618805,0.0,10.0,0.5,1.0,-0.0163940741013784,-1.7504411368476787,0.3511175811290741,9.648882865905762
0.66,33,0.20977763831615448,0.9777491092681885,0.2113475352525711,0.545322060585022,0.014671342447400093,2.0,0.45604774355888367,0.8899553418159485,0.47354915738105774,0.2462701052427292,-0.08779380470514297,0.26220160722732544,0.26220160722732544,0.13370807468891144,0.0,10.0,0.5,1.0,-0.01904928979390344,-1.769490426641582,0.4758647382259369,9.52413558959961
0.68,34,0.220403790473938,0.9754087328910828,0.22222842276096344,0.5440443158149719,-0.0638885423541069,2.0,0.4611234664916992,0.8873359560966492,0.4792608916759491,0.24071967601776123,-0.08807273954153061,0.25703248381614685,0.25703248381614685,0.13890041410923004,0.0,10.0,0.5,1.0,-0.0216124567471216,-1.7911028833887037,0.6184666156768799,9.3815336227417
0.7000000000000001,35,0.2309485673904419,0.9729659557342529,0.23305249214172363,0.5412038564682007,-0.1420225203037262,2.0,0.4655815362930298,0.885004997253418,0.48429158329963684,0.2346329540014267,-0.08796095848083496,0.2512390911579132,0.2512390911579132,0.1439831256866455,0.0,10.0,0.5,1.0,-0.024080836372673407,-1.8151837197613772,0.7783603668212891,9.221639633178711
0.72,36,0.24138109385967255,0.9704304337501526,0.24378877878189087,0.5368138551712036,-0.21949923038482666,2.0,0.4694202244281769,0.8829748630523682,0.48863404989242554,0.22803914546966553,-0.08745552599430084,0.24484528601169586,0.24484528601169586,0.1489439755678177,0.0,10.0,0.5,1.0,-0.02645204764693053,-1.8416357674083077,0.9549150466918945,9.045084953308105
0.74,37,0.25167116522789,0.9678127765655518,0.254406601190567,0.530892014503479,-0.29609188437461853,2.0,0.4726382791996002,0.8812565207481384,0.4922821819782257,0.2209671288728714,-0.08655629307031631,0.2378755509853363,0.2378755509853363,0.15377117693424225,0.0,10.0,0.5,1.0,-0.028724058237700398,-1.8703598256460081,1.1474337577819824,8.85256576538086
0.76,38,0.2617894113063812,0.9651250243186951,0.2648758292198181,0.5234604477882385,-0.37157905101776123,2.0,0.47523465752601624,0.8798590898513794,0.49523070454597473,0.21344523131847382,-0.08526592701673508,0.2303548902273178,0.2303548902273178,0.15845347940921783,0.0,10.0,0.5,1.0,-0.030895174686397665,-1.9012550003324058,1.3551568984985352,8.644843101501465
