t,step,x,y,theta,theta_dot,theta_ddot,tau,x_target,y_target,theta_target,ex,ey,etheta,reward,reward_cum,force_left,force_right
0.2,10,0.002494205953553319,0.9999969005584717,0.002494208514690399,0.020196346566081047,0.058734696358442307,0.11002248525619507,0.2896801233291626,0.9571235179901123,0.29389262199401855,0.287185937166214,-0.04287337511777878,0.29139840602874756,-0.03493535053486148,-3.741436374475644,0.2679134011268616,0.4879583716392517
0.22,11,0.002916810568422079,0.999995768070221,0.002916814526543021,0.02113030105829239,0.046697791665792465,0.09997577965259552,0.31334367394447327,0.9496397972106934,0.3187119960784912,0.31042686104774475,-0.050355952233076096,0.3157951831817627,0.013185241327263657,-3.7282511331483805,0.29389262199401855,0.4938441812992096
0.24,12,0.0033530814107507467,0.9999943971633911,0.0033530876971781254,0.021813658997416496,0.034167833626270294,0.08953449130058289,0.3356296420097351,0.9419940114021301,0.3422735631465912,0.3322765529155731,-0.058000348508358,0.3389204740524292,0.05748388969106601,-3.6707672434573144,0.3187119960784912,0.497780978679657
0.26,13,0.0037978445179760456,0.9999927878379822,0.003797853598371148,0.022238288074731827,0.021231431514024734,0.07873985171318054,0.3564675450325012,0.9343076944351196,0.3644843101501465,0.35266968607902527,-0.06568507850170135,0.36068645119667053,0.09846492252880418,-3.57230232092851,0.3422735631465912,0.49975326657295227
0.28,14,0.004245797637850046,0.9999909996986389,0.004245810676366091,0.02239784598350525,0.007977962493896484,0.0676344782114029,0.37579697370529175,0.9267020225524902,0.3852566182613373,0.37155115604400635,-0.07328896224498749,0.3810108006000519,0.13653574422430434,-3.435766576704206,0.3644843101501465,0.49975326657295227
0.3,15,0.004691549576818943,0.9999889731407166,0.004691566806286573,0.022287826985120773,-0.005500969011336565,0.05626218020915985,0.39356696605682373,0.9192959666252136,0.404508501291275,0.38887542486190796,-0.08069304376840591,0.39981693029403687,0.17199436843097599,-3.2637722082732297,0.3852566182613373,0.497780978679657
0.32,16,0.005129656288772821,0.9999868273735046,0.005129678640514612,0.02190558612346649,-0.019112030044198036,0.044667840003967285,0.40973538160324097,0.9122044444084167,0.4221639633178711,0.4046057164669037,-0.08778242021799088,0.4170342981815338,0.20516737661160553,-3.0586048316616243,0.404508501291275,0.4938441812992096
0.34,17,0.005554657429456711,0.9999845623970032,0.005554686300456524,0.021250372752547264,-0.03276072442531586,0.03289720416069031,0.42426797747612,0.9055367112159729,0.43815332651138306,0.4187133014202118,-0.09444788843393326,0.43259865045547485,0.23630629134682007,-2.8222985403148044,0.4221639633178711,0.4879583716392517
0.36,18,0.005961117334663868,0.9999822378158569,0.005961152724921703,0.020323334261775017,-0.04635190591216087,0.020996764302253723,0.43713751435279846,0.899394690990448,0.45241352915763855,0.43117639422416687,-0.10058755427598953,0.44645237922668457,0.26563844471666764,-2.556660095598137,0.43815332651138306,0.4801468551158905
0.38,19,0.0063436608761549,0.9999798536300659,0.006343703251332045,0.01912752538919449,-0.059790436178445816,0.009013429284095764,0.44832292199134827,0.8938716650009155,0.46488824486732483,0.4419792592525482,-0.10610820353031158,0.4585445523262024,0.2933764398555073,-2.2632836557426295,0.45241352915763855,0.4704403877258301
0.4,20,0.0066970111802220345,0.9999775886535645,0.006697061005979776,0.017667893320322037,-0.07298160344362259,-0.0030054599046707153,0.45780816674232483,0.8890510201454163,0.4755282700061798,0.4511111378669739,-0.1109265685081482,0.46883121132850647,0.3067116420186446,-1.9565720137239848,0.46488824486732483,0.4588773250579834
0.42,21,0.007016028743237257,0.9999753832817078,0.007016086485236883,0.015951257199048996,-0.08583181351423264,-0.015012502670288086,0.4655815362930298,0.885004997253418,0.48429158329963684,0.45856550335884094,-0.1149703860282898,0.4772754907608032,0.27969262357034813,-1.6768793901536367,0.4755282700061798,0.44550326466560364
0.44,22,0.00729574728757143,0.9999733567237854,0.007295812014490366,0.013986276462674141,-0.09824903309345245,-0.026960283517837524,0.4716346263885498,0.8817940354347229,0.4911436140537262,0.46433889865875244,-0.1181793212890625,0.48384782671928406,0.2511825598938416,-1.4256968302597952,0.48429158329963684,0.4303710162639618
0.46,23,0.007531408686190844,0.9999716281890869,0.007531479932367802,0.011783408001065254,-0.11014343053102493,-0.03880167007446289,0.475961834192276,0.8794659376144409,0.4960573613643646,0.46843039989471436,-0.12050569802522659,0.4885258674621582,0.2209733578827694,-1.204723472377026,0.4911436140537262,0.4135402739048004
0.48,24,0.007718500215560198,0.9999701976776123,0.007718577049672604,0.009354851208627224,-0.12142783403396606,-0.05048993229866028,0.4785594642162323,0.8780551552772522,0.49901336431503296,0.4708409607410431,-0.1219150573015213,0.491294801235199,0.18884616224011017,-1.0158773101369158,0.4960573613643646,0.39507749676704407
0.5,25,0.007852786220610142,0.9999691843986511,0.007852866314351559,0.00671448465436697,-0.1320182979106903,-0.06197892129421234,0.4794255495071411,0.8775825500488281,0.5,0.47157275676727295,-0.12238660454750061,0.49214714765548706,0.15456280334540784,-0.861314506791508,0.49901336431503296,0.3750555217266083
0.52,26,0.007930339314043522,0.9999685287475586,0.007930422201752663,0.0038777932059019804,-0.1418345868587494,-0.0732233077287674,0.4785594642162323,0.8780551552772522,0.49901336431503296,0.47062912583351135,-0.12191340327262878,0.49108293652534485,0.1178555618944085,-0.7434589448970995,0.5,0.3535533845424652
0.54,27,0.007947574369609356,0.999968409538269,0.007947658188641071,0.000861779903061688,-0.1508006602525711,-0.08417871594429016,0.475961834192276,0.8794659376144409,0.4960573613643646,0.4680142402648926,-0.12050247192382812,0.48810967803001404,0.07839445560567042,-0.6650644892914291,0.49901336431503296,0.33065593242645264
0.56,28,0.007901273667812347,0.9999687671661377,0.007901355624198914,-0.002315123565495014,-0.15884517133235931,-0.09480191767215729,0.4716346263885498,0.8817940354347229,0.4911436140537262,0.46373337507247925,-0.1181747242808342,0.4832422733306885,0.035809810328842444,-0.6292546789625867,0.4960573613643646,0.30645352602005005
0.58,29,0.0077886139042675495,0.9999696612358093,0.0077886926010251045,-0.005633160471916199,-0.16590183973312378,-0.1050509661436081,0.4655815362930298,0.885004997253418,0.48429158329963684,0.45779290795326233,-0.11496467143297195,0.4765028953552246,-0.010330593079639102,-0.6395852720422258,0.4911436140537262,0.28104168176651
0.6,30,0.007607191801071167,0.9999710917472839,0.007607265375554562,-0.009071358479559422,-0.17190992832183838,-0.11488543450832367,0.45780816674232483,0.8890510201454163,0.4755282700061798,0.45020097494125366,-0.11092005670070648,0.4679209887981415,-0.060592843962142186,-0.700178116004368,0.48429158329963684,0.2545207142829895
0.62,31,0.00735504599288106,0.999972939491272,0.007355112116783857,-0.012607649900019169,-0.17681458592414856,-0.12426651269197464,0.44832292199134827,0.8938716650009155,0.46488824486732483,0.440967857837677,-0.10610127449035645,0.4575331211090088,-0.11570237132959772,-0.8158804873339657,0.4755282700061798,0.22699524462223053
0.64,32,0.00703067472204566,0.9999752640724182,0.007030732464045286,-0.016218993812799454,-0.18056720495224,-0.1331571489572525,0.43713751435279846,0.899394690990448,0.45241352915763855,0.43010684847831726,-0.1005806028842926,0.4453828036785126,-0.17660965721003766,-0.9924901445440033,0.46488824486732483,0.19857394695281982
0.66,33,0.006633053533732891,0.9999780058860779,0.006633102428168058,-0.019881509244441986,-0.18312577903270721,-0.14152228832244873,0.42426797747612,0.9055367112159729,0.43815332651138306,0.41763490438461304,-0.09444131702184677,0.4315202236175537,-0.2445898493064141,-1.2370799938504173,0.45241352915763855,0.16936896741390228
0.68,34,0.006161651108413935,0.9999810457229614,0.0061616902239620686,-0.02357061207294464,-0.18445514142513275,-0.14932888746261597,0.40973538160324097,0.9122044444084167,0.4221639633178711,0.4035737216472626,-0.08777659386396408,0.4160022735595703,-0.32139688084646584,-1.5584768746968831,0.43815332651138306,0.13949555158615112
0.7000000000000001,35,0.005616437178105116,0.9999842047691345,0.005616466980427504,-0.02726115845143795,-0.18452724814414978,-0.15654617547988892,0.39356696605682373,0.9192959666252136,0.404508501291275,0.3879505395889282,-0.08068828284740448,0.39889204502105713,-0.40951235646739464,-1.9679892311642777,0.4221639633178711,0.10907161980867386
0.72,36,0.0049978941679000854,0.9999874830245972,0.004997915122658014,-0.030927585437893867,-0.18332134187221527,-0.16314563155174255,0.37579697370529175,0.9267020225524902,0.3852566182613373,0.37079906463623047,-0.07328548282384872,0.380258709192276,-0.5125648997522383,-2.480554130916516,0.404508501291275,0.07821723073720932
0.74,37,0.004307020455598831,0.999990701675415,0.004307033959776163,-0.034544069319963455,-0.1808241456747055,-0.16910123825073242,0.3564675450325012,0.9343076944351196,0.3644843101501465,0.3521605134010315,-0.06568301469087601,0.36017727851867676,-0.6360734804854018,-3.116627611401918,0.3852566182613373,0.04705415666103363
0.76,38,0.003545332932844758,0.9999937415122986,0.003545340383425355,-0.038084667176008224,-0.1770300567150116,-0.17438946664333344,0.3356296420097351,0.9419940114021301,0.3422735631465912,0.3320842981338501,-0.057999685406684875,0.3387282192707062,-0.7888512600889277,-3.9054788714908453,0.3644843101501465,0.015705378726124763
0.78,39,0.002714867237955332,0.9999963045120239,0.002714870497584343,-0.041523490101099014,-0.1719411164522171,-0.1789894700050354,0.31334367394447327,0.9496397972106934,0.3187119960784912,0.3106288015842438,-0.05035652220249176,0.3159971237182617,-0.8790161878623052,-4.784495059353151,0.3422735631465912,-0.015705378726124763
0.8,40,0.0018181728664785624,0.9999983310699463,0.0018181739142164588,-0.04483483359217644,-0.16556712985038757,-0.18288308382034302,0.2896801233291626,0.9571235179901123,0.29389262199401855,0.28786197304725647,-0.042874835431575775,0.29207444190979004,-0.8763694586791397,-5.66086451803229,0.3187119960784912,-0.04705415666103363
0.8200000000000001,41,0.000858306884765625,0.9999996423721313,0.0008583069429732859,-0.04799334704875946,-0.15792569518089294,-0.18605493009090424,0.2647198438644409,0.9643253684043884,0.2679134011268616,0.2638615369796753,-0.03567427024245262,0.26705509424209595,-0.8742133575152562,-6.535077875547547,0.29389262199401855,-0.07821723073720932
0.84,42,-0.00016117682389449328,1.0,-0.00016117682389449328,-0.05097419023513794,-0.14904211461544037,-0.18849250674247742,0.2385542392730713,0.9711291790008545,0.24087683856487274,0.23871541023254395,-0.02887081168591976,0.2410380095243454,-0.872556522392563,-7.40763439794011,0.2679134011268616,-0.10907161980867386
0.86,43,-0.0012362400302663445,0.9999992251396179,-0.00123624037951231,-0.05375317484140396,-0.13894931972026825,-0.19018620252609253,0.21128518879413605,0.9774244427680969,0.2128896415233612,0.21252143383026123,-0.022574778646230698,0.2141258865594864,-0.871405605769813,-8.279040003709923,0.24087683856487274,-0.13949555158615112
0.88,44,-0.0023623767774552107,0.9999971985816956,-0.0023623791057616472,-0.056306932121515274,-0.12768778204917908,-0.19112929701805115,0.18302473425865173,0.9831082820892334,0.18406227231025696,0.18538710474967957,-0.016888899728655815,0.18642465770244598,-0.8707652171226625,-9.149805220832587,0.2128896415233612,-0.16936896741390228
0.9,45,-0.0035346325021237135,0.9999937415122986,-0.0035346397198736668,-0.058613039553165436,-0.11530528962612152,-0.1913181096315384,0.15389446914196014,0.9880872964859009,0.15450850129127502,0.15742909908294678,-0.011906463652849197,0.15804313123226166,-0.8706379292075543,-10.02044315004014,0.18406227231025696,-0.19857394695281982
0.92,46,-0.004747625440359116,0.9999887347221375,-0.004747643135488033,-0.06065017357468605,-0.10185682773590088,-0.19075188040733337,0.12402476370334625,0.9922791123390198,0.12434494495391846,0.12877239286899567,-0.007709606550633907,0.12909258902072906,-0.871024247953864,-10.891467397994004,0.15450850129127502,-0.22699524462223053
