t,step,x,y,theta,theta_dot,theta_ddot,tau,x_target,y_target,theta_target,ex,ey,etheta,p_error,i_error,d_error,kp,ki,kd,reward,reward_cum
5.12,256,1.0,6.123234262925839e-17,1.5707963705062866,2.633532762527466,-11.498259544372559,-1.5450849533081055,-0.11190052330493927,0.9937193989753723,-0.1121353805065155,-1.1119005680084229,0.9937193989753723,-1.682931661605835,-1.682931661605835,0.7446954846382141,0.0,10.0,0.5,1.0,-0.11088134297099618,-53.05875284205076
5.14,257,1.0,6.123234262925839e-17,1.5707963705062866,2.3978867530822754,-11.782299041748047,-1.8406227827072144,-0.13005132973194122,0.9915072321891785,-0.1304207593202591,-1.1300513744354248,0.9915072321891785,-1.7012170553207397,-1.7012170553207397,0.7108539938926697,0.0,10.0,0.5,1.0,-0.10994157901009571,-53.168694421060856
5.16,258,1.0,6.123234262925839e-17,1.5707963705062866,2.1592888832092285,-11.92989444732666,-2.0,-0.1479753702878952,0.9889910221099854,-0.1485207974910736,-1.1479753255844116,0.9889910221099854,-1.719317078590393,-1.719317078590393,0.6766486763954163,0.0,10.0,0.5,1.0,-0.10884881641050233,-53.277543237471356
5.18,259,1.0,6.123234262925839e-17,1.5707963705062866,1.9209295511245728,-11.917963981628418,-2.0,-0.16564279794692993,0.9861857891082764,-0.16640977561473846,-1.1656427383422852,0.9861857891082764,-1.7372061014175415,-1.7372061014175415,0.6420834064483643,0.0,10.0,0.5,1.0,-0.10760427978521445,-53.38514751725657
5.2,260,1.0,6.123234262925839e-17,1.5707963705062866,1.6828086376190186,-11.906046867370605,-2.0,-0.18302473425865173,0.9831082820892334,-0.18406227231025696,-1.1830247640609741,0.9831082820892334,-1.7548586130142212,-1.7548586130142212,0.6071627736091614,0.0,10.0,0.5,1.0,-0.10620937318179821,-53.49135689043837
5.22,261,1.0,6.123234262925839e-17,1.5707963705062866,1.4449257850646973,-11.894140243530273,-2.0,-0.2000933736562729,0.9797768592834473,-0.20145322382450104,-1.200093388557434,0.9797768592834473,-1.7722495794296265,-1.7722495794296265,0.5718916654586792,0.0,10.0,0.5,1.0,-0.10466568401735764,-53.59602257445572
5.24,262,1.0,6.123234262925839e-17,1.5707963705062866,1.2072808742523193,-11.882246017456055,-2.0,-0.2168220430612564,0.9762111306190491,-0.21855787932872772,-1.2168220281600952,0.9762111306190491,-1.7893542051315308,-1.7893542051315308,0.5362756252288818,0.0,10.0,0.5,1.0,-0.10297498702973593,-53.69899756148546
5.26,263,1.0,6.123234262925839e-17,1.5707963705062866,0.9698736071586609,-11.87036418914795,-2.0,-0.23318526148796082,0.9724323153495789,-0.23535196483135223,-1.2331852912902832,0.9724323153495789,-1.8061482906341553,-1.8061482906341553,0.5003206133842468,0.0,10.0,0.5,1.0,-0.10113924860708227,-53.800136810092546
5.28,264,1.0,6.123234262925839e-17,1.5707963705062866,0.7327037453651428,-11.85849380493164,-2.0,-0.2491588294506073,0.9684626460075378,-0.25181159377098083,-1.2491588592529297,0.9684626460075378,-1.8226078748703003,-1.8226078748703003,0.4640330672264099,0.0,10.0,0.5,1.0,-0.0991606304123985,-53.899297440504945
5.3,265,1.0,6.123234262925839e-17,1.5707963705062866,0.49577102065086365,-11.846634864807129,-2.0,-0.2647198438644409,0.9643253684043884,-0.2679134011268616,-1.264719843864441,0.9643253684043884,-1.8387097120285034,-1.8387097120285034,0.42741990089416504,0.0,10.0,0.5,1.0,-0.09704149351151176,-53.99633893401646
