t,step,x,y,theta,theta_dot,theta_ddot,tau,x_target,y_target,theta_target,ex,ey,etheta,reward,reward_cum,force_left,force_right
0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,1,-1.131779377858068e-15,1.0,-1.131779377858068e-15,-5.658897016345282e-14,-2.829448481067587e-12,-3.772598119317072e-12,0.04391147568821907,0.9990354180335999,0.04392559826374054,0.04391147568821907,-0.0009645739919506013,0.04392559826374054,-2.297231683988209e-15,-2.297231683988209e-15,0.0,0.0
0.04,2,0.0005999999702908099,0.9999998211860657,0.0006000000284984708,0.029999999329447746,1.5,2.0,0.08739987760782242,0.9961733222007751,0.08751153200864792,0.08679987490177155,-0.0038265108596533537,0.08691152930259705,-0.0833255982637428,-0.08332559826374511,0.0,0.0
0.06,3,0.001797783188521862,0.9999983906745911,0.0017977842362597585,0.059889208525419235,1.4944604635238647,2.0,0.13005132973194122,0.9915072321891785,0.1304207593202591,0.12825354933738708,-0.008491122163832188,0.12862296402454376,-0.12571374780854536,-0.20903934607229047,0.0,0.0
0.08,4,0.0035893714521080256,0.9999935626983643,0.003589379135519266,0.0895797461271286,1.4845269918441772,2.0,0.17146988213062286,0.9851893782615662,0.17232146859169006,0.16788052022457123,-0.014804196543991566,0.16873207688331604,-0.16683138013425264,-0.3758707262065431,0.0,0.0
0.1,5,0.00596903171390295,0.9999821782112122,0.005969067104160786,0.11898438632488251,1.4702320098876953,2.0,0.21128518879413605,0.9774244427680969,0.2128896415233612,0.20531615614891052,-0.022557727992534637,0.2069205790758133,-0.20635240163628077,-0.5822231278428238,0.0,0.0
0.12,6,0.008929284289479256,0.9999601244926453,0.008929403498768806,0.1480168104171753,1.4516209363937378,2.0,0.2491588294506073,0.9684626460075378,0.25181159377098083,0.2402295470237732,-0.031497497111558914,0.24288219213485718,-0.24396023842410827,-0.8261833662669321,0.0,0.0
0.14,7,0.012460917234420776,0.9999223351478577,0.012461240403354168,0.17659184336662292,1.4287521839141846,2.0,0.2847890555858612,0.9585902094841003,0.2887863516807556,0.27232813835144043,-0.041332144290208817,0.2763251066207886,-0.27935035366408884,-1.105533719931021,0.0,0.0
0.16,8,0.01655299961566925,0.9998629689216614,0.016553755849599838,0.20462578535079956,1.4016965627670288,2.0,0.3179134726524353,0.9481196999549866,0.323527991771698,0.30136048793792725,-0.05174326151609421,0.30697423219680786,-0.3122325959244986,-1.4177663158555194,0.0,0.0
0.18,9,0.021192898973822594,0.9997754096984863,0.02119448594748974,0.2320365458726883,1.3705378770828247,2.0,0.3483102321624756,0.9373793005943298,0.3557678461074829,0.32711732387542725,-0.0623960867524147,0.334573358297348,-0.34233350523104117,-1.7600998210865606,0.0,0.0
0.2,10,0.026366310194134712,0.9996523261070251,0.0263693667948246,0.2587439715862274,1.3353718519210815,2.0,0.37579697370529175,0.9267020225524902,0.3852566182613373,0.349430650472641,-0.0729503259062767,0.358887255191803,-0.36939848003460724,-2.129498301121168,0.0,0.0
0.22,11,0.032057274132966995,0.9994860291481018,0.03206276893615723,0.2846701145172119,1.2963069677352905,2.0,0.4002286195755005,0.9164153337478638,0.41176629066467285,0.3681713342666626,-0.08307070285081863,0.3797035217285156,-0.3931938498668636,-2.5226921509880316,0.0,0.0
0.24,12,0.038248226046562195,0.9992682933807373,0.03825755789875984,0.3097393810749054,1.2534635066986084,2.0,0.4214937090873718,0.9068313241004944,0.43509188294410706,0.3832454979419708,-0.09243694692850113,0.3968343138694763,-0.4135087345610883,-2.9362008855491197,0.0,0.0
0.26,13,0.04492001235485077,0.9989905953407288,0.044935133308172226,0.33387884497642517,1.2069734334945679,2.0,0.43950989842414856,0.8982377648353577,0.4550529718399048,0.394589900970459,-0.10075284540653229,0.41011786460876465,-0.43015674974611545,-3.3663576352952354,0.0,0.0
0.28,14,0.05205196887254715,0.9986443519592285,0.052075501531362534,0.35701847076416016,1.1569805145263672,2.0,0.45421892404556274,0.8908901214599609,0.47149527072906494,0.4021669328212738,-0.10775427520275116,0.4194197654724121,-0.4429774693280198,-3.8093351046232553,0.0,0.0
0.3,15,0.05962194874882698,0.9982210397720337,0.05965732783079147,0.3790912628173828,1.1036394834518433,2.0,0.4655815362930298,0.885004997253418,0.48429158329963684,0.4059595763683319,-0.11321602761745453,0.42463424801826477,-0.45183794312447617,-4.261173047747731,0.0,0.0
0.32,16,0.06760638952255249,0.9977120757102966,0.06765799969434738,0.400033563375473,1.0471155643463135,2.0,0.47357288002967834,0.8807546496391296,0.49334296584129333,0.40596646070480347,-0.11695742607116699,0.42568495869636536,-0.4566335843617599,-4.717806632109491,0.0,0.0
0.34,17,0.07598040997982025,0.9971092939376831,0.07605370134115219,0.4197852611541748,0.9875847101211548,2.0,0.4781784117221832,0.8782626986503601,0.4985794425010681,0.4021979868412018,-0.1188465878367424,0.4225257337093353,-0.4572892616857375,-5.175095893795229,0.0,0.0
