t,step,x,y,theta,theta_dot,theta_ddot,tau,x_target,y_target,theta_target,ex,ey,etheta
0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.02,1,-4.898587368981641e-19,1.0,-4.898587368981641e-19,-2.4492935397342132e-17,-1.2246467996456087e-15,-1.2246467996456087e-15,0.01884397678077221,0.9998224377632141,0.01884509064257145,0.01884397678077221,-0.00017756347369868308,0.01884509064257145
0.04,2,2.511620732548181e-05,1.0,2.511620732548181e-05,0.001255810377188027,0.06279052048921585,0.06279052048921585,0.03765450045466423,0.9992908239364624,0.037663403898477554,0.037629384547472,-0.0007091818260960281,0.037638287991285324
0.06,3,0.00010024203947978094,1.0,0.00010024203947978094,0.003756291465833783,0.12502405047416687,0.12533323466777802,0.05639825016260147,0.9984083771705627,0.05642819404602051,0.05629801005125046,-0.001591642969287932,0.056327950209379196
0.08,4,0.0002498519024811685,0.9999999403953552,0.00024985193158499897,0.007480493746697903,0.18621012568473816,0.187381312251091,0.07504218071699142,0.9971803426742554,0.07511279731988907,0.07479233294725418,-0.0028196086641401052,0.07486294209957123
0.1,5,0.0004978076904080808,0.9999998807907104,0.0004978077486157417,0.01239779032766819,0.24586482346057892,0.24868988990783691,0.09355364739894867,0.995614230632782,0.0936906561255455,0.0930558443069458,-0.0043856361880898476,0.09319285303354263
0.12,6,0.0008671688847243786,0.9999996423721313,0.0008671690011397004,0.018468063324689865,0.30351361632347107,0.30901700258255005,0.11190052330493927,0.9937193989753723,0.1121353805065155,0.1110333576798439,-0.006280210334807634,0.11126821488142014
0.14,7,0.0013800074812024832,0.9999990463256836,0.0013800079468637705,0.025641946122050285,0.3586942255496979,0.3681245446205139,0.13005132973194122,0.9915072321891785,0.1304207593202591,0.128671333193779,-0.008491786196827888,0.12904074788093567
0.16,8,0.002057229168713093,0.9999978542327881,0.0020572305656969547,0.03386113420128822,0.41095930337905884,0.4257792830467224,0.1479753702878952,0.9889910221099854,0.1485207974910736,0.14591814577579498,-0.011006837710738182,0.1464635580778122
0.18,9,0.002918400801718235,0.999995768070221,0.002918404992669821,0.043058715760707855,0.45987918972969055,0.4817536771297455,0.16564279794692993,0.9861857891082764,0.16640977561473846,0.16272439062595367,-0.013809924945235252,0.1634913682937622
0.2,10,0.003981586545705795,0.9999920725822449,0.003981596790254116,0.05315960571169853,0.5050443410873413,0.5358268022537231,0.18302473425865173,0.9831082820892334,0.18406227231025696,0.17904314398765564,-0.016883764415979385,0.18008068203926086
0.22,11,0.005263192113488913,0.9999861717224121,0.005263216327875853,0.06408096104860306,0.5460678935050964,0.5877852439880371,0.2000933736562729,0.9797768592834473,0.20145322382450104,0.19483017921447754,-0.020209316164255142,0.1961899995803833
0.24,12,0.006777818780392408,0.9999770522117615,0.006777870934456587,0.07573272287845612,0.5825880169868469,0.6374239921569824,0.2168220430612564,0.9762111306190491,0.21855787932872772,0.21004422008991241,-0.02376588247716427,0.21178001165390015
0.26,13,0.00853812973946333,0.9999635219573975,0.008538233116269112,0.08801812678575516,0.6142700910568237,0.6845471262931824,0.23318526148796082,0.9724323153495789,0.23535196483135223,0.2246471345424652,-0.027531221508979797,0.22681373357772827
0.28,14,0.0105547234416008,0.999944269657135,0.010554919019341469,0.10083429515361786,0.640808641910553,0.728968620300293,0.2491588294506073,0.9684626460075378,0.25181159377098083,0.2386041134595871,-0.03148166090250015,0.2412566840648651
0.3,15,0.012836024165153503,0.9999176263809204,0.012836377136409283,0.11407288908958435,0.6619296669960022,0.7705132365226746,0.2647198438644409,0.9643253684043884,0.2679134011268616,0.2518838346004486,-0.035592254251241684,0.2550770342350006
0.32,16,0.01538818422704935,0.9998815655708313,0.015388791449368,0.12762072682380676,0.6773919463157654,0.80901700258255,0.27984675765037537,0.9600446820259094,0.2836344838142395,0.264458566904068,-0.039836909621953964,0.2682456970214844
0.34,17,0.0182149950414896,0.9998341202735901,0.018216000869870186,0.14136050641536713,0.6869888305664062,0.8443279266357422,0.2945193350315094,0.9556455016136169,0.29895249009132385,0.27630433440208435,-0.044188570231199265,0.2807364761829376
0.36,18,0.021317817270755768,0.9997727274894714,0.02131943218410015,0.1551714986562729,0.6905495524406433,0.8763066530227661,0.308718740940094,0.9511533975601196,0.313845694065094,0.2874009311199188,-0.04861937835812569,0.2925262451171875
0.38,19,0.02469552680850029,0.9996950030326843,0.024698037654161453,0.1689303070306778,0.6879407167434692,0.9048270583152771,0.32242754101753235,0.9465941190719604,0.3282928764820099,0.29773202538490295,-0.05310087278485298,0.30359482765197754
0.4,20,0.028344474732875824,0.9995982050895691,0.028348270803689957,0.18251164257526398,0.6790668368339539,0.9297764897346497,0.3356296420097351,0.9419940114021301,0.3422735631465912,0.3072851598262787,-0.05760418623685837,0.31392529606819153
0.42,21,0.03225845471024513,0.9994795322418213,0.03226405382156372,0.19578908383846283,0.6638716459274292,0.9510565400123596,0.3483102321624756,0.9373793005943298,0.3557678461074829,0.31605178117752075,-0.06210024282336235,0.3235037922859192
0.44,22,0.03642870858311653,0.9993362426757812,0.0364367701113224,0.2086358517408371,0.6423382759094238,0.9685831665992737,0.36045587062835693,0.9327762722969055,0.36875656247138977,0.3240271508693695,-0.06655998528003693,0.33231979608535767
0.46,23,0.04084391891956329,0.9991655349731445,0.0408552810549736,0.22092564404010773,0.6144897937774658,0.9822872281074524,0.3720543384552002,0.928210973739624,0.3812212646007538,0.3312104046344757,-0.0709545835852623,0.3403659760951996
