time,angle,velocity,acceleration,torque,target,error,reward,pid_integral,pid_derivative
0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.02,0.0006666666666666666,0.06666666666666667,6.666666666666667,10.0,0.015705378726124763,0.015038712059458097,-1.0150431565039026,0.00015705378726124764,1.5705378726124763
0.03,0.001995786222254519,0.1329119555587852,6.624528889211852,10.0,0.031395260244607925,0.029399474022353406,-1.0294171396102838,0.00046433972304066025,1.5023214851816495
0.04,0.0039860477881491245,0.19902615658946055,6.611420103067534,10.0,0.04705415666103363,0.04306810887288451,-1.0431077202838914,0.0009149234274284514,1.432977686083785
0.05,0.006635708977982935,0.26496611898338107,6.593996239392049,10.0,0.06266661733388901,0.05603090835590607,-1.0561011154001152,0.0015017291228858502,1.3622199106960775
0.06,0.00994259733853365,0.33068883605507143,6.572271707169037,10.0,0.07821723073720932,0.06827463339867568,-1.068383988504967,0.002217544340478114,1.2900952213486498
0.07,0.013904112088651088,0.39615147501174375,6.546263895667228,10.0,0.0936906561255455,0.07978654403689442,-1.0799434800280483,0.003055024928348233,1.2166537027785473
0.08,0.018517226165951986,0.4613114077300897,6.515993271834599,10.0,0.10907161980867386,0.09055439364272187,-1.0907672018576238,0.00400670000554846,1.1419448933010916
0.09,0.023778488593353752,0.5261262427401765,6.481483501008683,10.0,0.12434494495391846,0.1005664563605647,-1.1008432651838644,0.005064977193428125,1.0660211067943695
0.1,0.02968402717970021,0.5905538586346459,6.442761589446948,10.0,0.13949555158615112,0.10981152440645091,-1.110160278266399,0.0062221478233560985,0.9889344204830897
0.11,0.03622955157073982,0.6545524391039613,6.399858046931542,10.0,0.15450850129127502,0.11827894972053521,-1.118707388616072,0.007470392564471847,0.9107411118777442
0.12,0.043410356668525725,0.7180805097785903,6.35280706746289,10.0,0.16936896741390228,0.12595861074537656,-1.1264742503639005,0.008801786722903472,0.8314941731587657
0.13,0.051221326438894474,0.7810969770368752,6.3016467258284905,10.0,0.18406227231025696,0.13284094587136247,-1.1334510583588986,0.010208305879320784,0.7512499798568772
0.14,0.059656938128025076,0.84356116891306,6.246419187618485,10.0,0.19857394695281982,0.13891700882479474,-1.1396286042704928,0.011681832084460038,0.6700704872194096
0.15,0.06871126691016168,0.9054328782136595,6.187170930059946,10.0,0.2128896415233612,0.14417837461319954,-1.1449981833101497,0.013214159118413399,0.5880082881410786
0.16,0.07837799098938422,0.9666724079222554,6.123952970859587,10.0,0.22699524462223053,0.1486172536328463,-1.1495517091770846,0.014796998895534087,0.5051274316732746
