time,angle,velocity,acceleration,torque,target,error,reward,pid_integral,pid_derivative
0.01,0.001,0.1,10.0,10.0,0.5235987901687622,0.5225987901687622,-1.5226087901687624,0.005235987901687622,52.35987901687622
0.02,0.0024265702660538875,0.14265702660538876,4.265702660538874,4.330607659721374,0.5235987901687622,0.5211722199027083,-0.7087341979543226,0.010461975803375243,-0.10000000000000009
0.03,0.004239712621594009,0.18131423555401216,3.8657208948623416,3.9418889129972454,0.5235987901687622,0.5193590775471681,-0.6747768344232887,0.015673698002402328,-0.14265702660538615
0.04,0.006402874392738844,0.21631617711448353,3.5001941560471357,3.589121307710224,0.5235987901687622,0.5171959157760233,-0.6460606260791002,0.02086728877787401,-0.18131423555401982
0.05,0.008882651400279187,0.24797770075403414,3.166152363955059,3.269189865971736,0.5235987901687622,0.514716138768483,-0.6216536555062773,0.02603924793563424,-0.21631617711448392
0.06,0.011648516594932549,0.27658651946533624,2.8608818711302093,2.9792484733777025,0.5235987901687622,0.5119502735738296,-0.6007859883378133,0.03118640932331907,-0.2479777007540318
0.07,0.014672572122379157,0.3024055527446609,2.581903327932465,2.7166966616754866,0.5235987901687622,0.508926218046383,-0.5828220746803012,0.036305912059057366,-0.2765865194653383
0.08,0.01792932279544066,0.32567506730615003,2.326951456148913,2.479158395412486,0.5235987901687622,0.5056694673733215,-0.5672377951182286,0.041395174239521194,-0.30240555274465564
0.09,0.021395469125142726,0.34661463297020667,2.093956566405665,2.2644626898042333,0.5235987901687622,0.5022033210436195,-0.5536013754825628,0.04645186891325441,-0.3256750673061526
0.1,0.02504971822175734,0.36542490966146135,1.881027669125466,2.07062590197111,0.5235987901687622,0.4985490719470049,-0.5415575235707426,0.05147390212369061,-0.3466146329701991
0.11,0.028872611022555738,0.38228928007983987,1.686437041837852,1.895835551286996,0.5235987901687622,0.4947261791462065,-0.5308142486151071,0.056459392843160656,-0.3654249096614659
0.12,0.032846364436107105,0.3973753413551367,1.5086061275296827,1.7384355370098978,0.5235987901687622,0.4907524257326551,-0.5211319140579611,0.06140665463462272,-0.3822892800798394
